	Kingdom	Phylum	Class	Order	Family	Genus	Species
Collinsella.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella.unclassified
Anaerostipes.caccae	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes.caccae
Haemophilus.pittmaniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus.pittmaniae
Blautia.glucerasea	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.glucerasea
Streptococcus.sobrinus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.sobrinus
Bacteroides.plebeius	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.plebeius
uc_f_Peptococcaceae.unclassified	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uc_f_Peptococcaceae	uc_f_Peptococcaceae.unclassified
Campylobacter.hyointestinalis	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.hyointestinalis
uc_f_Veillonellaceae.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	uc_f_Veillonellaceae	uc_f_Veillonellaceae.unclassified
uc_f_Oxalobacteraceae.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	uc_f_Oxalobacteraceae	uc_f_Oxalobacteraceae.unclassified
Bacteroides.ovatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.ovatus
Finegoldia.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	Finegoldia.unclassified
Methanosphaera.stadtmanae	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera.stadtmanae
