	Kingdom	Phylum	Class	Order	Family	Genus	Species
Caproiciproducens.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Caproiciproducens	Caproiciproducens.unclassified
Veillonella.parvula	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella.parvula
Ezakiella.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	Ezakiella.unclassified
Aeromonas.salmonicida	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas.salmonicida
Campylobacter.showae	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.showae
Bacteroides.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.unclassified
[Ruminococcus] gauvreauii group.gauvreauii	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group.gauvreauii
Prevotella.stercorea	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.stercorea
Bacteroides.clarus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.clarus
Mogibacterium.timidum	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	Mogibacterium.timidum
Blautia.faecis	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.faecis
Novosphingobium.sediminicola	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium.sediminicola
Bacteroides.uniformis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.uniformis
Cryptanaerobacter.unclassified	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Cryptanaerobacter	Cryptanaerobacter.unclassified
Actinotignum.schaalii	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum.schaalii
uc_o_Clostridia UCG-014.unclassified	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	unclassified	uc_o_Clostridia UCG-014	uc_o_Clostridia UCG-014.unclassified
Aggregatibacter.aphrophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Aggregatibacter	Aggregatibacter.aphrophilus
uc_o_Proteinivoracales.unclassified	Bacteria	Firmicutes	Clostridia	Proteinivoracales	unclassified	uc_o_Proteinivoracales	uc_o_Proteinivoracales.unclassified
uc_c_Clostridia.unclassified	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	uc_c_Clostridia	uc_c_Clostridia.unclassified
Alistipes.inops	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.inops
Pediococcus.inopinatus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus.inopinatus
Synergistes.jonesii	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Synergistes	Synergistes.jonesii
Hungatella.hathewayi	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella.hathewayi
uc_f_Defluviitaleaceae.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	uc_f_Defluviitaleaceae	uc_f_Defluviitaleaceae.unclassified
Bifidobacterium.longum	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.longum
[Clostridium] innocuum group.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium] innocuum group	[Clostridium] innocuum group.unclassified
Morganella.morganii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella.morganii
Centipeda.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Centipeda	Centipeda.unclassified
Lachnospiraceae UCG-001.bacterium	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-001	Lachnospiraceae UCG-001.bacterium
Bacteroides.vulgatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.vulgatus
Bifidobacterium.adolescentis	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.adolescentis
S5-A14a.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	S5-A14a	S5-A14a.unclassified
Fructilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus.unclassified
Acidaminococcus.intestini	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus.intestini
Prevotella.oralis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.oralis
Lentilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus.unclassified
Anaeroplasma.unclassified	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Anaeroplasma	Anaeroplasma.unclassified
uc_o_Gastranaerophilales.unclassified	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	unclassified	uc_o_Gastranaerophilales	uc_o_Gastranaerophilales.unclassified
Bifidobacterium.pseudolongum	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.pseudolongum
Phascolarctobacterium.unclassified	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium.unclassified
Negativicoccus.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Negativicoccus	Negativicoccus.unclassified
Ruminococcus.callidus	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus.callidus
Campylobacter.concisus	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.concisus
Subdoligranulum.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	Subdoligranulum.unclassified
Corynebacterium.glyciniphilum	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium.glyciniphilum
Adlercreutzia.equolifaciens	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia.equolifaciens
Dialister.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	Dialister.unclassified
Methanobrevibacter.oralis	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter.oralis
Sanguibacteroides.justesenii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Sanguibacteroides	Sanguibacteroides.justesenii
UCG-003.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-003	UCG-003.unclassified
Prevotella.disiens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.disiens
Blautia.hansenii	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.hansenii
uc_f_Methanomethylophilaceae.unclassified	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	uc_f_Methanomethylophilaceae	uc_f_Methanomethylophilaceae.unclassified
Varibaculum.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum.unclassified
Staphylococcus.unclassified	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus.unclassified
uc_f_Atopobiaceae.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	uc_f_Atopobiaceae	uc_f_Atopobiaceae.unclassified
Desulfovibrio.desulfuricans	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio.desulfuricans
Acetanaerobacterium.elongatum	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	Acetanaerobacterium	Acetanaerobacterium.elongatum
Denitrobacterium.detoxificans	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Denitrobacterium	Denitrobacterium.detoxificans
Muribaculum.intestinale	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum.intestinale
Paraprevotella.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella.unclassified
Holdemania.massiliensis	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania.massiliensis
Prevotella.salivae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.salivae
Comamonas.aquatica	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas.aquatica
Staphylococcus.saprophyticus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus.saprophyticus
GCA-900066755.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066755	GCA-900066755.unclassified
Ruminococcus.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus.unclassified
Lachnospiraceae FCS020 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae FCS020 group	Lachnospiraceae FCS020 group.unclassified
Criibacterium.bergeronii	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Criibacterium	Criibacterium.bergeronii
F0332.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	F0332.unclassified
Senegalimassilia.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	Senegalimassilia.unclassified
Cetobacterium.unclassified	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium.unclassified
Lachnospiraceae NK3A20 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK3A20 group	Lachnospiraceae NK3A20 group.unclassified
Erysipelotrichaceae UCG-003.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003	Erysipelotrichaceae UCG-003.unclassified
Anaeroglobus.geminatus	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus.geminatus
Bacillus.unclassified	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus.unclassified
Streptococcus.peroris	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.peroris
Staphylococcus.aureus	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus.aureus
Peptoniphilus.urinimassiliensis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.urinimassiliensis
Anaerofustis.stercorihominis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis	Anaerofustis.stercorihominis
Adlercreutzia.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia.unclassified
[Eubacterium] siraeum group.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	[Eubacterium] siraeum group	[Eubacterium] siraeum group.unclassified
Sarcina.unclassified	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	Sarcina.unclassified
Megasphaera.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera.unclassified
Sanguibacteroides.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Sanguibacteroides	Sanguibacteroides.unclassified
Lactobacillus.iners	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.iners
Carnobacterium.inhibens	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium.inhibens
Enteroscipio.rubneri	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enteroscipio	Enteroscipio.rubneri
Lactococcus.taiwanensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus.taiwanensis
Olsenella.scatoligenes	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella.scatoligenes
Streptococcus.lutetiensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.lutetiensis
Escherichia-Shigella.boydii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.boydii
Bacteroides.timonensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.timonensis
Clostridium sensu stricto 1.unclassified	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.unclassified
Pseudobutyrivibrio.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio.unclassified
uc_f_Oscillospiraceae.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uc_f_Oscillospiraceae	uc_f_Oscillospiraceae.unclassified
Escherichia-Shigella.dysenteriae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.dysenteriae
Macellibacteroides.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	Macellibacteroides.unclassified
uc_o_mle1-8.unclassified	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	unclassified	uc_o_mle1-8	uc_o_mle1-8.unclassified
Parabacteroides.goldsteinii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.goldsteinii
Bacteroides.finegoldii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.finegoldii
Prevotella.bivia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.bivia
Megamonas.funiformis	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	Megamonas.funiformis
Slackia.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia.unclassified
Candidatus Methanomethylophilus.alvus	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus.alvus
Parabacteroides.johnsonii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.johnsonii
Asteroleplasma.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Asteroleplasma	Asteroleplasma.unclassified
uc_o_WCHB1-41.unclassified	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	unclassified	uc_o_WCHB1-41	uc_o_WCHB1-41.unclassified
Helicobacter.fennelliae	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter.fennelliae
uc_f_Ruminococcaceae.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uc_f_Ruminococcaceae	uc_f_Ruminococcaceae.unclassified
Butyricimonas.virosa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas.virosa
Helicobacter.bilis	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter.bilis
Veillonella.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella.unclassified
Peptostreptococcus.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus.unclassified
Paucilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus.unclassified
[Eubacterium] nodatum group.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group.unclassified
Sneathia.amnii	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia.amnii
ASF356.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	ASF356	ASF356.unclassified
Succinatimonas.hippei	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinatimonas	Succinatimonas.hippei
Murdochiella.asaccharolytica	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Murdochiella	Murdochiella.asaccharolytica
Cerasicoccus.unclassified	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	Cerasicoccus.unclassified
Eubacterium.limosum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium.limosum
Prevotella.timonensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.timonensis
Megasphaera.elsdenii	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera.elsdenii
Proteus.mirabilis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus.mirabilis
uc_f_Coriobacteriaceae.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	uc_f_Coriobacteriaceae	uc_f_Coriobacteriaceae.unclassified
Flavonifractor.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor.unclassified
Z20.unclassified	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Oligosphaeraceae	Z20	Z20.unclassified
Anaeroglobus.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus.unclassified
[Eubacterium] nodatum group.pyruvativorans	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group.pyruvativorans
uc_f_Pasteurellaceae.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	uc_f_Pasteurellaceae	uc_f_Pasteurellaceae.unclassified
Candidatus Methanoplasma.unclassified	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus Methanoplasma	Candidatus Methanoplasma.unclassified
Roseburia.inulinivorans	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia.inulinivorans
Veillonella.magna	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella.magna
Prevotellaceae UCG-004.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	Prevotellaceae UCG-004.unclassified
Blautia.caecimuris	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.caecimuris
Colidextribacter.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	Colidextribacter.unclassified
Helicobacter.pullorum	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter.pullorum
Catenibacillus.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Catenibacillus	Catenibacillus.unclassified
Porphyromonas.somerae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas.somerae
dgA-11 gut group.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	dgA-11 gut group	dgA-11 gut group.unclassified
Peptococcus.niger	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus.niger
Lachnospiraceae AC2044 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae AC2044 group	Lachnospiraceae AC2044 group.unclassified
Lachnoclostridium.urinimassiliense	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium.urinimassiliense
[Eubacterium] oxidoreducens group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] oxidoreducens group	[Eubacterium] oxidoreducens group.unclassified
Weissella.cibaria	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella.cibaria
Erysipelatoclostridium.ramosum	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium.ramosum
Prevotella.corporis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.corporis
Blautia.wexlerae	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.wexlerae
Succiniclasticum.unclassified	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum.unclassified
Desulfovibrio.unclassified	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio.unclassified
Streptococcus.agalactiae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.agalactiae
Oscillibacter.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter.unclassified
Anaerococcus.mediterraneensis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus.mediterraneensis
Paludicola.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Paludicola	Paludicola.unclassified
Erysipelotrichaceae UCG-003.bacterium	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003	Erysipelotrichaceae UCG-003.bacterium
Methanosphaera.unclassified	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera.unclassified
Eggerthella.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella.unclassified
Leuconostoc.carnosum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc.carnosum
Acidaminococcus.unclassified	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus.unclassified
Cryptobacterium.curtum	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Cryptobacterium	Cryptobacterium.curtum
Akkermansia.muciniphila	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia.muciniphila
Prevotella.buccalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.buccalis
Collinsella.massiliensis	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella.massiliensis
uc_f_Limnochordaceae.unclassified	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	uc_f_Limnochordaceae	uc_f_Limnochordaceae.unclassified
Family XIII AD3011 group.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	Family XIII AD3011 group.unclassified
Mobiluncus.curtisii	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus.curtisii
Escherichia-Shigella.sonnei	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.sonnei
Leptotrichia.unclassified	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia.unclassified
[Ruminococcus] torques group.faecis	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group.faecis
Blautia.obeum	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.obeum
Streptococcus.salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.salivarius
Intestinimonas.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas.unclassified
Catenibacillus.scindens	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Catenibacillus	Catenibacillus.scindens
UBA1819.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1819	UBA1819.unclassified
Streptococcus.sanguinis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.sanguinis
Porphyromonas.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas.unclassified
Clostridium sensu stricto 13.unclassified	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	Clostridium sensu stricto 13.unclassified
Bacteroides.massiliensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.massiliensis
Clostridium sensu stricto 1.butyricum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.butyricum
